Artist,Album,units
 Morgan Wallen, One Thing at a Time,5362000
 Taylor Swift, Midnights,3209000
 SZA, SOS,3172000
 Taylor Swift, 1989 (Taylor’s Version),2872000
 Morgan Wallen, Dangerous: The Double Album,2179000
 Taylor Swift, Lover,1875000
 Travis Scott, Utopia,1782000
 Taylor Swift, Speak Now (Taylor’s Version),1775000
 Taylor Swift, Folklore,1612000
Metro Boomin, Heroes & Villains,1573000
