Artist,Song,Streams
Morgan Wallen, “Last Night”,1015000000
SZA, “Kill Bill”,802600000
Zach Bryan, “Something in the Orange”,656070000
Miley Cyrus, “Flowers”,634420000
SZA, “Snooze”,550830000
The Weeknd, “Die for You”,539290000
Eslabon Armado x Peso Pluma, “Ella Baila Sola”,526340000
Luke Combs, “Fast Car”,525510000
Morgan Wallen, “You Proof”,517580000
Taylor Swift, “Cruel Summer”,507780000
